transaction_id,customer_id,card_number,card_last_four,merchant_name,merchant_category,amount,currency,transaction_date,transaction_time,status,description,location,mcc_code,auth_code
TXN000001,CUST3483,4111266497674664,3026,Venmo,Subscriptions,112.81,USD,2025-09-18,10:02:52,Posted,Venmo - Free,"Heathermouth, LA",5043,Z6PYZY
TXN000002,CUST1484,4111306853248391,8828,PayPal,Entertainment,85.3,USD,2025-08-22,12:57:11,Authorized,PayPal - Matter,"East Eric, AZ",1139,E58184
TXN000003,CUST3227,4532939513710588,4676,Grubhub,Transportation,125.18,USD,2025-07-05,05:19:16,Authorized,Grubhub - Care,"Jacksonborough, SD",7365,87W9T9
TXN000004,CUST8147,3782038982038056,0775,Netflix,Subscriptions,20.35,USD,2025-08-04,18:24:56,Authorized,Netflix - Successful,"North Jasminemouth, LA",7795,O8DPZ9
TXN000005,CUST2562,3714189692803991,3216,Venmo,Entertainment,38.81,USD,2025-09-17,03:41:02,Authorized,Venmo - Cultural,"West Brittanyborough, AK",5365,8M7G8S
TXN000006,CUST3934,4532249567657227,2714,Home Depot,Entertainment,170.3,USD,2025-09-25,07:31:13,Pending,Home Depot - Daughter,"West Debbieton, MS",6445,IBOLWT
TXN000007,CUST1394,3714133810783348,8621,Facebook,Transportation,23.04,USD,2025-09-08,19:07:58,Authorized,Facebook - Executive,"Troymouth, AZ",2030,1SXDEB
TXN000008,CUST1910,5555718544064993,2252,CVS Pharmacy,Shopping,8.57,USD,2025-08-07,11:08:18,Pending,CVS Pharmacy - Face,"Jessicastad, AL",8051,SVH8J1
TXN000009,CUST2017,5105605218806327,2956,Starbucks,Restaurants,21.45,USD,2025-07-14,13:20:13,Authorized,Starbucks - Hotel,"South Russellburgh, AZ",5737,K8U6U1
TXN000010,CUST4005,5555039054918804,7971,Microsoft,Healthcare,188.91,USD,2025-08-07,03:56:38,Pending,Microsoft - Modern,"Coryport, SD",8547,0PZJ32
TXN000011,CUST7710,5555193927238824,8841,Square,Restaurants,133.15,USD,2025-07-29,08:03:37,Authorized,Square - Clear,"Josephhaven, UT",2215,X8Y07F
TXN000012,CUST2289,4111977871030008,9402,Uber,Technology,175.63,USD,2025-07-24,05:10:42,Authorized,Uber - Career,"Nicolechester, WA",2338,V3A5UT
TXN000013,CUST6545,5105622580768575,3499,GitHub,Restaurants,79.51,USD,2025-07-17,11:37:37,Authorized,GitHub - Much,"South Rubenchester, MA",4348,0WMQAK
TXN000014,CUST3264,5555591076714484,9981,Uber,Gas,79.21,USD,2025-09-02,03:15:00,Posted,Uber - Each,"Leetown, AL",5279,Y3JIF7
TXN000015,CUST6706,3714206050153568,7145,Walmart,Utilities,128.9,USD,2025-08-21,21:04:49,Posted,Walmart - Common,"Lopezberg, OH",9390,J6BIVB
